0,20,51,0.392157,16,34,0.470588,4,17,0.235294,20,29,0.689655,6,22,28,1.2549,0.431373,11,9,1.22222,6,26,0.666667,0.230769,7,0.269231,0,24,52,0.461538,18,36,0.5,6,16,0.375,20,30,0.666667,11,30,41,1.42308,0.519231,10,14,0.714286,3,22,0.214286,0.136364,4,0.181818,B
0.5,19,44,0.431818,13,30,0.433333,6,14,0.428571,33,42,0.785714,14,25,39,1.75,0.5,12,21,0.571429,5,26,0.238095,0.192308,4,0.153846,0.5,20,60,0.333333,18,50,0.36,2,10,0.2,24,29,0.827586,18,17,35,1.1,0.35,9,16,0.5625,12,37,0.75,0.324324,4,0.108108,A
0.666667,29,52,0.557692,22,35,0.628571,7,17,0.411765,22,29,0.758621,6,28,34,1.67308,0.625,18,10,1.8,7,21,0.7,0.333333,4,0.190476,0.666667,24,54,0.444444,20,39,0.512821,4,15,0.266667,12,20,0.6,7,23,30,1.18519,0.481481,16,12,1.33333,5,22,0.416667,0.227273,2,0.0909091,A
1,28,56,0.5,21,36,0.583333,7,20,0.35,7,11,0.636364,13,23,36,1.25,0.5625,17,16,1.0625,8,17,0.5,0.470588,5,0.294118,1,18,54,0.333333,12,34,0.352941,6,20,0.3,7,15,0.466667,14,16,30,0.907407,0.388889,6,16,0.375,5,16,0.3125,0.3125,3,0.1875,A
0.6,22,48,0.458333,17,38,0.447368,5,10,0.5,19,25,0.76,8,21,29,1.41667,0.510417,11,10,1.1,7,26,0.7,0.269231,5,0.192308,0.6,19,49,0.387755,19,37,0.513514,0,12,0,23,32,0.71875,13,24,37,1.2449,0.387755,8,13,0.615385,6,25,0.461538,0.24,2,0.08,A
0.833333,28,57,0.491228,18,30,0.6,10,27,0.37037,25,30,0.833333,14,16,30,1.59649,0.578947,16,7,2.28571,4,21,0.571429,0.190476,1,0.047619,0.833333,35,54,0.648148,31,41,0.756098,4,13,0.307692,16,23,0.695652,6,18,24,1.66667,0.685185,21,6,3.5,4,20,0.666667,0.2,1,0.05,A
0.285714,29,54,0.537037,18,34,0.529412,11,20,0.55,18,26,0.692308,8,22,30,1.61111,0.638889,16,10,1.6,4,16,0.4,0.25,4,0.25,0.285714,28,56,0.5,21,34,0.617647,7,22,0.318182,13,15,0.866667,6,20,26,1.35714,0.5625,11,11,1,8,23,0.727273,0.347826,4,0.173913,A
0.625,25,49,0.510204,19,39,0.487179,6,10,0.6,16,25,0.64,10,22,32,1.46939,0.571429,17,13,1.30769,12,22,0.923077,0.545455,4,0.181818,0.625,21,48,0.4375,15,29,0.517241,6,19,0.315789,13,24,0.541667,9,15,24,1.27083,0.5,11,15,0.733333,6,23,0.4,0.26087,2,0.0869565,A
0.333333,21,45,0.466667,10,28,0.357143,11,17,0.647059,20,27,0.740741,9,27,36,1.62222,0.588889,13,17,0.764706,6,22,0.352941,0.272727,9,0.409091,0.333333,18,56,0.321429,12,34,0.352941,6,22,0.272727,19,27,0.703704,15,19,34,1.08929,0.375,9,11,0.818182,8,23,0.727273,0.347826,4,0.173913,A
0.3,25,59,0.423729,20,42,0.47619,5,17,0.294118,12,18,0.666667,9,17,26,1.13559,0.466102,7,6,1.16667,5,23,0.833333,0.217391,4,0.173913,0.3,27,54,0.5,26,48,0.541667,1,6,0.166667,25,27,0.925926,12,29,41,1.48148,0.509259,6,10,0.6,3,15,0.3,0.2,5,0.333333,B
